Search_method Problem Max_evals Run Score
uniform_crossover_tweak knapPI_11_20_1000_4 10000 1 1440N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 2 1360N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 3 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 4 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 5 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 6 1440N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 7 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 8 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 9 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 10 1440N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 11 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 12 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 13 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 14 1440N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 15 1440N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 16 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 17 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 18 1360N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 19 1440N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 20 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 21 1400N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 22 1360N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 23 1440N
uniform_crossover_tweak knapPI_11_20_1000_4 10000 24 1400N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 0 880N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 1 889N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 2 889N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 3 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 4 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 5 889N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 6 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 7 890N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 8 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 9 889N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 10 889N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 11 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 12 889N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 13 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 14 890N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 15 836N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 16 889N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 17 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 18 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 19 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 20 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 21 907N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 22 890N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 23 845N
uniform_crossover_tweak knapPI_13_20_1000_4 10000 24 889N
uniform_crossover_tweak knapPI_16_20_1000_4 10000 0 2682N
